player_id,Player,Matches,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%.1,RiP W%.1,SvImpact.1,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%.2,RiP W%.2,D Wide%.1,A Wide%.1,BP Wide%.1,2ndAgg
133,Robin Soderling,25,0.311,0.418,0.525,0.37799999999999995,0.39799999999999996,0.521,0.556,0.505,0.514,0.426,0.359,0.18,0.26899999999999996,0.48200000000000004,0.23800000000000002,0.33799999999999997,0.368,61
134,Andrey Rublev,123,0.305,0.40299999999999997,0.515,0.36200000000000004,0.401,0.527,0.575,0.494,0.485,0.45899999999999996,0.457,0.166,0.225,0.441,0.095,0.513,0.59,36
135,Ivo Karlovic,42,0.478,0.627,0.501,0.5489999999999999,0.586,0.74,0.556,0.693,0.439,0.5720000000000001,0.584,0.319,0.48200000000000004,0.42700000000000005,0.281,0.297,0.163,124
136,Nikoloz Basilashvili,44,0.248,0.348,0.513,0.306,0.32299999999999995,0.446,0.5379999999999999,0.423,0.58,0.617,0.5710000000000001,0.17,0.248,0.48100000000000004,0.299,0.49700000000000005,0.565,45
137,Laslo Djere,30,0.24600000000000002,0.355,0.512,0.304,0.336,0.47200000000000003,0.54,0.43200000000000005,0.501,0.48200000000000004,0.505,0.124,0.201,0.475,0.21,0.506,0.645,1
138,Tommy Haas,40,0.29100000000000004,0.389,0.488,0.348,0.366,0.489,0.507,0.46299999999999997,0.42,0.491,0.5379999999999999,0.20800000000000002,0.27699999999999997,0.46299999999999997,0.261,0.40700000000000003,0.561,72
139,Rafael Nadal,450,0.228,0.32799999999999996,0.5670000000000001,0.295,0.268,0.387,0.589,0.365,0.281,0.537,0.596,0.154,0.217,0.522,0.109,0.436,0.518,31
140,Bernard Tomic,31,0.32,0.424,0.499,0.379,0.409,0.5329999999999999,0.537,0.49700000000000005,0.539,0.517,0.52,0.145,0.212,0.439,0.284,0.46299999999999997,0.568,20
141,David Nalbandian,44,0.204,0.306,0.517,0.267,0.256,0.377,0.5379999999999999,0.359,0.433,0.544,0.551,0.13699999999999998,0.217,0.486,0.16899999999999998,0.617,0.722,19
142,Guillermo Coria,27,0.163,0.226,0.518,0.213,0.191,0.268,0.5379999999999999,0.265,0.607,0.552,0.521,0.121,0.159,0.47200000000000003,0.41,0.40299999999999997,0.414,-1
143,Viktor Troicki,21,0.304,0.387,0.44299999999999995,0.361,0.385,0.498,0.518,0.479,0.431,0.436,0.439,0.192,0.23199999999999998,0.348,0.39799999999999996,0.365,0.551,31
144,Ivan Lendl,92,0.245,0.34700000000000003,0.526,0.304,0.363,0.49,0.564,0.473,0.502,0.551,0.569,0.12300000000000001,0.21,0.488,0.262,0.687,0.818,8
145,Frances Tiafoe,53,0.289,0.4,0.495,0.354,0.37,0.511,0.536,0.475,0.586,0.374,0.389,0.177,0.243,0.44,0.221,0.529,0.634,38
146,Diego Schwartzman,113,0.18600000000000003,0.263,0.524,0.23800000000000002,0.217,0.313,0.5479999999999999,0.301,0.5770000000000001,0.39299999999999996,0.32299999999999995,0.15,0.20199999999999999,0.48200000000000004,0.267,0.397,0.392,30
147,Philipp Kohlschreiber,41,0.258,0.381,0.526,0.33,0.317,0.45899999999999996,0.565,0.433,0.408,0.474,0.5770000000000001,0.16899999999999998,0.265,0.47,0.221,0.4,0.544,-4
148,Pablo Cuevas,37,0.28600000000000003,0.396,0.5579999999999999,0.344,0.363,0.499,0.58,0.45799999999999996,0.387,0.584,0.5539999999999999,0.182,0.26,0.528,0.228,0.55,0.5820000000000001,60
149,Richard Krajicek,21,0.39299999999999996,0.532,0.479,0.46,0.535,0.685,0.565,0.654,0.457,0.395,0.281,0.23600000000000002,0.376,0.40299999999999997,0.11800000000000001,0.494,0.698,59
150,Marin Cilic,91,0.322,0.44299999999999995,0.508,0.385,0.445,0.5920000000000001,0.5670000000000001,0.5539999999999999,0.551,0.455,0.455,0.16699999999999998,0.262,0.44799999999999995,0.134,0.496,0.5329999999999999,48
151,Alexandr Dolgopolov,24,0.295,0.418,0.511,0.355,0.408,0.569,0.581,0.518,0.629,0.562,0.5,0.175,0.259,0.445,0.512,0.56,0.725,47
152,Juan Martin Del Potro,144,0.306,0.41700000000000004,0.537,0.373,0.392,0.531,0.5770000000000001,0.496,0.38799999999999996,0.419,0.491,0.168,0.23399999999999999,0.479,0.13,0.359,0.413,39
153,Filip Krajinovic,35,0.239,0.355,0.517,0.31,0.3,0.435,0.539,0.41100000000000003,0.40700000000000003,0.518,0.5,0.141,0.22699999999999998,0.48100000000000004,0.139,0.41600000000000004,0.414,17
154,Jordan Thompson,22,0.29100000000000004,0.37799999999999995,0.478,0.345,0.391,0.491,0.519,0.478,0.475,0.42,0.447,0.158,0.233,0.424,0.22399999999999998,0.27,0.25,34
155,Vasek Pospisil,24,0.35600000000000004,0.48200000000000004,0.509,0.42,0.469,0.629,0.564,0.58,0.426,0.48700000000000004,0.39399999999999996,0.226,0.315,0.452,0.139,0.423,0.484,61
156,Alex De Minaur,73,0.23600000000000002,0.324,0.532,0.29100000000000004,0.3,0.41100000000000003,0.564,0.391,0.439,0.396,0.377,0.153,0.209,0.488,0.13699999999999998,0.502,0.648,36
